"","FIPS","lname","votes","totalvotes","state","county","pct"
"917","13205","Trump",4935,8930,"georgia","mitchell",0.552631578947368
"919","13207","Trump",11060,15444,"georgia","monroe",0.716135716135716
"921","13209","Trump",2960,3939,"georgia","montgomery",0.751459761360751
"924","13211","Trump",8230,11585,"georgia","morgan",0.710401381096245
"926","13213","Trump",12943,15245,"georgia","murray",0.848999672023614
"927","13215","Trump",30049,79578,"georgia","muscogee",0.377604363014904
"929","13217","Trump",23869,53663,"georgia","newton",0.44479436483238
"932","13219","Trump",16595,24757,"georgia","oconee",0.670315466332754
"934","13221","Trump",5593,8029,"georgia","oglethorpe",0.696599825632084
"935","13223","Trump",54525,84229,"georgia","paulding",0.647342364268839
"938","13225","Trump",6502,12422,"georgia","peach",0.523426179359201
"939","13227","Trump",14075,16883,"georgia","pickens",0.833678848545875
"941","13229","Trump",7899,8999,"georgia","pierce",0.87776419602178
"944","13231","Trump",9127,10632,"georgia","pike",0.858446200150489
"946","13233","Trump",13589,17247,"georgia","polk",0.787905142923407
"947","13235","Trump",2805,4022,"georgia","pulaski",0.697414221780209
"950","13237","Trump",8291,11739,"georgia","putnam",0.706278217906125
"952","13239","Trump",604,1101,"georgia","quitman",0.548592188919164
"954","13241","Trump",7474,9458,"georgia","rabun",0.790230492704589
"956","13243","Trump",1391,3062,"georgia","randolph",0.454278249510124
"958","13245","Trump",26781,85905,"georgia","richmond",0.311751353239043
"959","13247","Trump",13012,44256,"georgia","rockdale",0.294016630513377
"962","13249","Trump",1800,2262,"georgia","schley",0.795755968169761
"963","13251","Trump",3916,6577,"georgia","screven",0.595408240839288
"966","13253","Trump",2611,3865,"georgia","seminole",0.675549805950841
"967","13255","Trump",18057,29841,"georgia","spalding",0.605107067457525
"970","13257","Trump",9368,11753,"georgia","stephens",0.797073087722284
"971","13259","Trump",801,1983,"georgia","stewart",0.40393343419062
"974","13261","Trump",5732,12050,"georgia","sumter",0.475684647302905
"976","13263","Trump",1392,3506,"georgia","talbot",0.397033656588705
"977","13265","Trump",360,921,"georgia","taliaferro",0.390879478827362
"980","13267","Trump",6053,8114,"georgia","tattnall",0.745994577273848
"981","13269","Trump",2418,3805,"georgia","taylor",0.635479632063075
"983","13271","Trump",2825,4312,"georgia","telfair",0.655148423005566
"985","13273","Trump",2004,4380,"georgia","terrell",0.457534246575342
"987","13275","Trump",12954,21662,"georgia","thomas",0.598005724309851
"990","13277","Trump",10784,16106,"georgia","tift",0.669564137588476
"991","13279","Trump",7872,10811,"georgia","toombs",0.728147257422995
"993","13281","Trump",6384,7934,"georgia","towns",0.804638265691959
"995","13283","Trump",2101,3053,"georgia","treutlen",0.688175565018015
"997","13285","Trump",18146,29731,"georgia","troup",0.610339376408463
"999","13287","Trump",2349,3759,"georgia","turner",0.624900239425379
"1001","13289","Trump",2370,4414,"georgia","twiggs",0.536927956502039
"1003","13291","Trump",12651,15452,"georgia","union",0.818728967123997
"1005","13293","Trump",8608,12809,"georgia","upson",0.672027480677649
"1007","13295","Trump",23174,28943,"georgia","walker",0.800677193103687
"1009","13297","Trump",37842,50524,"georgia","walton",0.748990578734859
"1011","13299","Trump",9930,14179,"georgia","ware",0.700331476126666
"1014","13301","Trump",1177,2665,"georgia","warren",0.441651031894934
"1016","13303","Trump",4663,9393,"georgia","washington",0.496433514319174
"1017","13305","Trump",9987,12674,"georgia","wayne",0.787991163010888
"1019","13307","Trump",748,1387,"georgia","webster",0.539293439077145
"1021","13309","Trump",1583,2272,"georgia","wheeler",0.696742957746479
"1023","13311","Trump",12222,14633,"georgia","white",0.835235426775097
"1025","13313","Trump",25636,36306,"georgia","whitfield",0.706109183055142
"1028","13315","Trump",2403,3265,"georgia","wilcox",0.735987748851455
"1029","13317","Trump",2823,4982,"georgia","wilkes",0.566639903653151
"1032","13319","Trump",2664,4739,"georgia","wilkinson",0.562143912217767
"1034","13321","Trump",6831,9226,"georgia","worth",0.74040754389768
"1035","16001","Trump",130699,251238,"idaho","ada",0.520219871197828
"1037","16003","Trump",1941,2532,"idaho","adams",0.766587677725118
"1039","16005","Trump",23331,38013,"idaho","bannock",0.613763712414174
"1042","16007","Trump",2914,3264,"idaho","bear lake",0.892769607843137
"1043","16009","Trump",3878,4855,"idaho","benewah",0.798764160659114
"1046","16011","Trump",15295,19419,"idaho","bingham",0.787630670992327
"1047","16013","Trump",4031,12950,"idaho","blaine",0.311274131274131
"1049","16015","Trump",3495,4709,"idaho","boise",0.742195795285623
"1052","16017","Trump",18369,26679,"idaho","bonner",0.68851905993478
"1054","16019","Trump",37805,52059,"idaho","bonneville",0.726195278434084
"1055","16021","Trump",4937,6157,"idaho","boundary",0.801851551080071
"1058","16023","Trump",1202,1390,"idaho","butte",0.864748201438849
"1060","16025","Trump",507,656,"idaho","camas",0.772865853658537
"1061","16027","Trump",61759,87640,"idaho","canyon",0.704689639434048
"1063","16029","Trump",2906,3337,"idaho","caribou",0.870842073718909
"1066","16031","Trump",7907,9371,"idaho","cassia",0.843773343293138
"1068","16033","Trump",264,305,"idaho","clark",0.865573770491803
"1070","16035","Trump",3453,4330,"idaho","clearwater",0.797459584295612
"1071","16037","Trump",2089,2692,"idaho","custer",0.776002971768202
"1073","16039","Trump",7246,9847,"idaho","elmore",0.73585863714837
"1075","16041","Trump",5845,6502,"idaho","franklin",0.898954167948324
"1078","16043","Trump",5548,6546,"idaho","fremont",0.84754048273755
"1079","16045","Trump",7951,9754,"idaho","gem",0.815152757842936
"1081","16047","Trump",4659,5915,"idaho","gooding",0.787658495350803
"1083","16049","Trump",7826,9387,"idaho","idaho",0.833706189410887
"1085","16051","Trump",12099,13760,"idaho","jefferson",0.879287790697674
"1087","16053","Trump",5734,7627,"idaho","jerome",0.751802805821424
"1089","16055","Trump",62837,87149,"idaho","kootenai",0.721029501199096
"1092","16057","Trump",9472,19708,"idaho","latah",0.480617008321494
"1094","16059","Trump",3592,4624,"idaho","lemhi",0.77681660899654
"1096","16061","Trump",1489,1838,"idaho","lewis",0.810119695321001
"1097","16063","Trump",1469,1883,"idaho","lincoln",0.780138077535847
"1099","16065","Trump",13559,16225,"idaho","madison",0.835685670261941
"1102","16067","Trump",6265,7815,"idaho","minidoka",0.801663467690339
"1104","16069","Trump",13738,20424,"idaho","nez perce",0.672640031335684
"1105","16071","Trump",2148,2397,"idaho","oneida",0.896120150187735
"1108","16073","Trump",3819,4635,"idaho","owyhee",0.823948220064725
"1109","16075","Trump",8862,11023,"idaho","payette",0.803955366052799
"1112","16077","Trump",2116,2981,"idaho","power",0.709828916470983
"1113","16079","Trump",4216,5909,"idaho","shoshone",0.713487899813843
"1116","16081","Trump",2858,6176,"idaho","teton",0.462759067357513
"1117","16083","Trump",25897,35288,"idaho","twin falls",0.733875538426661
"1119","16085","Trump",3947,6923,"idaho","valley",0.570128556983966
"1122","16087","Trump",4154,5227,"idaho","washington",0.794719724507366
"1124","17001","Trump",24131,32700,"illinois","adams",0.737951070336391
"1126","17003","Trump",1486,2600,"illinois","alexander",0.571538461538462
"1127","17005","Trump",5612,7887,"illinois","bond",0.711550652973247
"1130","17007","Trump",13762,24134,"illinois","boone",0.570232866495401
"1131","17009","Trump",1930,2415,"illinois","brown",0.799171842650104
"1133","17011","Trump",10296,16841,"illinois","bureau",0.611365120836055
"1135","17013","Trump",2043,2717,"illinois","calhoun",0.751932278248068
"1137","17015","Trump",5098,7835,"illinois","carroll",0.65067007019783
"1139","17017","Trump",3624,5239,"illinois","cass",0.691735063943501
"1142","17019","Trump",35122,91718,"illinois","champaign",0.382934647506487
"1143","17021","Trump",11505,15791,"illinois","christian",0.728579570641505
"1145","17023","Trump",6215,8205,"illinois","clark",0.757464960390006
"1147","17025","Trump",5626,6755,"illinois","clay",0.832864544781643
"1150","17027","Trump",14264,18723,"illinois","clinton",0.761843721625808
"1152","17029","Trump",13981,21978,"illinois","coles",0.636136136136136
"1154","17031","Trump",914300,3346654,"illinois","cook",0.273198245172641
"1156","17033","Trump",7025,9223,"illinois","crawford",0.76168274964762
"1158","17035","Trump",4595,5736,"illinois","cumberland",0.801080892608089
"1159","17037","Trump",21818,46302,"illinois","de kalb",0.47121074683599
"1162","17039","Trump",5623,7794,"illinois","de witt",0.721452399281499
"1163","17041","Trump",6221,8548,"illinois","douglas",0.727772578380908
"1166","17043","Trump",193611,474833,"illinois","du page",0.407745459982773
"1168","17045","Trump",6169,8038,"illinois","edgar",0.767479472505598
"1169","17047","Trump",2833,3321,"illinois","edwards",0.853056308340861
"1172","17049","Trump",14983,18683,"illinois","effingham",0.801959000160574
"1173","17051","Trump",8025,9840,"illinois","fayette",0.815548780487805
"1175","17053","Trump",4956,6647,"illinois","ford",0.74559951857981
"1177","17055","Trump",13514,18204,"illinois","franklin",0.742364315535047
"1180","17057","Trump",9798,16169,"illinois","fulton",0.60597439544808
"1181","17059","Trump",2019,2640,"illinois","gallatin",0.764772727272727
"1183","17061","Trump",4767,6116,"illinois","greene",0.779431000654022
"1186","17063","Trump",16372,25817,"illinois","grundy",0.634155788821319
"1187","17065","Trump",3429,4250,"illinois","hamilton",0.806823529411765
"1190","17067","Trump",5309,6423,"illinois","hancock",0.826560797135295
"1191","17069","Trump",0,0,"illinois","hardin",NA
"1193","17071","Trump",2391,3577,"illinois","henderson",0.668437237908862
"1195","17073","Trump",15266,25028,"illinois","henry",0.609956848329871
"1197","17075","Trump",10858,13753,"illinois","iroquois",0.789500472624155
"1200","17077","Trump",10835,21939,"illinois","jackson",0.49386936505766
"1202","17079","Trump",4492,5498,"illinois","jasper",0.817024372499091
"1204","17081","Trump",12461,17058,"illinois","jefferson",0.730507679681088
"1205","17083","Trump",8699,11655,"illinois","jersey",0.746374946374946
"1208","17085","Trump",7161,12258,"illinois","jo daviess",0.584189916789036
"1209","17087","Trump",5052,6332,"illinois","johnson",0.797852179406191
"1212","17089","Trump",96775,226941,"illinois","kane",0.426432420761343
"1214","17091","Trump",28410,48522,"illinois","kankakee",0.585507604797824
"1216","17093","Trump",28515,59909,"illinois","kendall",0.475971890700896
"1217","17095","Trump",11818,22239,"illinois","knox",0.531408786366293
"1220","17097","Trump",121805,321188,"illinois","lake",0.379232723513954
"1221","17099","Trump",29482,50973,"illinois","la salle",0.578384635002845
"1224","17101","Trump",4849,6263,"illinois","lawrence",0.774229602426952
"1226","17103","Trump",9584,15952,"illinois","lee",0.600802407221665
"1228","17105","Trump",12134,16702,"illinois","livingston",0.726499820380793
"1229","17107","Trump",9042,12811,"illinois","logan",0.705799703379908
"1232","17109","Trump",7009,11982,"illinois","mcdonough",0.584960774495076
"1234","17111","Trump",81479,158687,"illinois","mchenry",0.513457309042329
"1236","17113","Trump",40365,84084,"illinois","mclean",0.480055658627087
"1237","17115","Trump",28373,48006,"illinois","macon",0.591030287880682
"1239","17117","Trump",16058,23371,"illinois","macoupin",0.687090839074066
"1242","17119","Trump",75272,132117,"illinois","madison",0.569737429702461
"1243","17121","Trump",12540,16936,"illinois","marion",0.740434577231932
"1245","17123","Trump",4196,6200,"illinois","marshall",0.676774193548387
"1248","17125","Trump",4645,6629,"illinois","mason",0.70070900588324
"1250","17127","Trump",4989,6708,"illinois","massac",0.743738819320215
"1251","17129","Trump",4764,6786,"illinois","menard",0.702033598585323
"1254","17131","Trump",5328,8540,"illinois","mercer",0.623887587822014
"1256","17133","Trump",14046,20535,"illinois","monroe",0.68400292184076
