"FIPS","RPL_THEME1","RPL_THEME2","RPL_THEME3","RPL_THEME4"
35039,-999,0.8758,0.9268,0.5409
1001,0.3631,0.581,0.5947,0.3741
1009,0.6143,0.3187,0.5915,0.1741
1013,0.8455,0.9077,0.6447,0.6259
1015,0.7866,0.8303,0.6507,0.6492
1017,0.6901,0.6609,0.4597,0.7943
1031,0.5373,0.8067,0.7256,0.1923
1033,0.6519,0.6858,0.397,0.1025
1039,0.8232,0.908,0.3941,0.4702
1043,0.6895,0.4444,0.3305,0.3945
1045,0.779,0.7463,0.6772,0.455
1051,0.4911,0.5422,0.581,0.5177
1055,0.7169,0.7587,0.6396,0.2904
1067,0.6971,0.6374,0.4725,0.2713
1069,0.6943,0.8542,0.5938,0.3502
1071,0.7927,0.5635,0.3126,0.3231
1077,0.4946,0.2451,0.4464,0.5622
1079,0.7373,0.5186,0.3725,0.2028
1083,0.5812,0.2999,0.6186,0.4521
1089,0.2863,0.1219,0.7217,0.3836
1095,0.7427,0.7682,0.7708,0.3149
1097,0.6815,0.5899,0.6845,0.723
1103,0.5838,0.6702,0.7504,0.5775
1111,0.7252,0.4814,0.4266,0.8157
1113,0.8433,0.88,0.7937,0.7768
1115,0.5475,0.3088,0.3961,0.2502
1117,0.0841,0.0691,0.6877,0.1764
1121,0.8729,0.7797,0.5883,0.7985
2261,0.1503,0.0557,0.4693,0.8513
4021,0.6962,0.7014,0.8962,0.8271
5009,0.5207,0.8125,0.0637,0.46
5011,0.8761,0.9748,0.8943,0.8924
5033,0.6121,0.8691,0.5785,0.2951
5037,0.6809,0.9675,0.3512,0.4432
5045,0.4334,0.1872,0.5244,0.7568
5047,0.7041,0.6613,0.2677,0.5495
5051,0.6376,0.9239,0.6049,0.8313
5053,0.5051,0.7418,0.1277,0.2566
5063,0.6344,0.9115,0.5552,0.6326
5083,0.8475,0.944,0.4132,0.4763
5085,0.3634,0.5619,0.4556,0.2334
5087,0.7564,0.6383,0.5256,0.3792
5115,0.7522,0.5928,0.6711,0.7437
5117,0.708,0.7622,0.2174,0.695
5121,0.6898,0.9828,0.2706,0.4858
5125,0.1844,0.737,0.5524,0.3257
5131,0.672,0.852,0.8351,0.6998
5145,0.6717,0.5871,0.4973,0.8523
6007,0.6583,0.3133,0.7953,0.9484
6017,0.171,0.1016,0.6937,0.2209
6023,0.643,0.3225,0.7459,0.9042
6027,0.2844,0.2563,0.8535,0.8902
6061,0.072,0.1213,0.7437,0.1974
6079,0.2331,0.0465,0.8405,0.7832
6089,0.4895,0.7533,0.6202,0.815
6093,0.6019,0.7205,0.6928,0.6676
8019,0.001,0.0296,0.4833,0.1404
8039,0.0019,0.0197,0.2025,0.0035
8047,6e-04,0.0016,0.2763,0.15
8051,0.2631,0.0127,0.3426,0.5326
8057,0.4134,0.0423,0.6772,0.0102
8065,0.5455,0.0143,0.8682,0.6351
8067,0.0503,0.0102,0.4801,0.6829
8071,0.6975,0.6218,0.8481,0.8351
8075,0.4159,0.1283,0.7752,0.9634
8077,0.5287,0.4833,0.5982,0.5969
8083,0.5041,0.702,0.5536,0.2846
8085,0.6166,0.5333,0.8048,0.6437
8093,0.0809,0.0264,0.1964,0.0016
8099,0.8446,0.9436,0.9032,0.7367
8101,0.7092,0.9048,0.7606,0.7937
8103,0.2943,0.0939,0.5963,0.6549
8119,0.1541,0.1299,0.3528,0.0751
8121,0.1936,0.425,0.5084,0.3719
9005,0.1054,0.0541,0.5374,0.1573
9007,0.0529,0.0481,0.5842,0.3483
9011,0.2283,0.1996,0.7558,0.5396
9015,0.3535,0.2095,0.7007,0.5428
10001,0.4764,0.6558,0.7819,0.8373
12019,0.3739,0.4285,0.7424,0.2206
12033,0.4653,0.0891,0.7256,0.6896
12089,0.164,0.5368,0.411,0.3031
12101,0.4774,0.6043,0.7361,0.66
12109,0.0777,0.1149,0.4747,0.1124
12113,0.2436,0.3642,0.5059,0.4225
13015,0.5717,0.5511,0.7151,0.4238
13039,0.415,0.4422,0.5425,0.6823
13045,0.7869,0.5301,0.7256,0.6272
13047,0.3194,0.2098,0.3136,0.0678
13057,0.1102,0.0904,0.7494,0.0955
13073,0.1608,0.2171,0.7475,0.0357
13077,0.2656,0.2502,0.758,0.1219
13085,0.2382,0.1465,0.3419,0.0907
13113,0.0602,0.1032,0.765,0.0181
13115,0.7484,0.6361,0.8064,0.9389
13123,0.6427,0.4963,0.7049,0.2728
13127,0.4777,0.8112,0.7908,0.694
13143,0.6325,0.8962,0.2856,0.2859
13145,0.2573,0.3948,0.3225,0.0519
13147,0.7194,0.8434,0.6164,0.3897
13153,0.4869,0.5852,0.788,0.4031
13157,0.4436,0.327,0.6784,0.1735
13169,0.6248,0.5887,0.3206,0.134
13187,0.6067,0.1232,0.489,0.4358
13207,0.5162,0.0831,0.5632,0.6762
13211,0.3688,0.3063,0.6797,0.0538
13227,0.4038,0.2493,0.304,0.319
13231,0.5283,0.0729,0.2324,0.0726
13233,0.7682,0.809,0.8249,0.4511
13295,0.7608,0.7233,0.2856,0.4989
13297,0.5003,0.5304,0.5651,0.0328
13299,0.7242,0.894,0.4565,0.9029
13311,0.4793,0.2735,0.3782,0.0876
16001,0.0939,0.0981,0.5874,0.2429
16017,0.3188,0.3843,0.1576,0.3512
16021,0.3978,0.397,0.3903,0.2604
16023,0.4178,0.4639,0.0092,0.3365
16025,0.2981,0.6546,0.276,0.0127
16039,0.5866,0.4425,0.8007,0.3738
16045,0.6424,0.9739,0.5294,0.2471
16055,0.2688,0.5279,0.2585,0.2572
16069,0.3268,0.8115,0.347,0.709
16085,0.1226,0.3687,0.0092,0.2448
17001,0.2411,0.5594,0.1936,0.3782
17007,0.4398,0.5425,0.8176,0.2203
17011,0.3032,0.639,0.5454,0.1273
17013,0.3541,0.4998,0.0105,0.2378
17015,0.3653,0.2073,0.2436,0.1334
17021,0.3446,0.306,0.1016,0.4094
17023,0.3573,0.8306,0.0627,0.0891
17027,0.157,0.134,0.2426,0.5358
17029,0.5519,0.2209,0.3187,0.7631
17035,0.3643,0.5288,0.0306,0.1095
17039,0.2917,0.1894,0.2327,0.1318
17045,0.4217,0.8163,0.1652,0.2649
17047,0.3468,0.7011,0.1366,0.1878
17049,0.1768,0.2945,0.2757,0.3932
17053,0.435,0.7994,0.1897,0.1585
17055,0.7643,0.9382,0.0408,0.4053
17057,0.6232,0.6281,0.4085,0.5126
17061,0.4742,0.5037,0.0146,0.1223
17063,0.1392,0.1423,0.5037,0.0602
17065,0.2494,0.7093,0.07,0.1114
17067,0.3462,0.2853,0.07,0.0949
17073,0.315,0.3031,0.4132,0.1289
17075,0.4516,0.5279,0.4963,0.1566
17079,0.3857,0.5727,0.1983,0.163
17081,0.7096,0.8656,0.3254,0.928
17083,0.1818,0.0958,0.2264,0.2639
17091,0.5175,0.5221,0.7039,0.7596
17099,0.4675,0.3712,0.5479,0.3741
17105,0.407,0.696,0.2795,0.6724
17111,0.071,0.0786,0.7202,0.0408
17115,0.5344,0.751,0.4164,0.6425
17117,0.4446,0.3989,0.0729,0.149
17119,0.3646,0.2518,0.3712,0.3725
17123,0.2803,0.1933,0.1111,0.0274
17125,0.5822,0.815,0.0131,0.1047
17127,0.6627,0.9341,0.2509,0.8064
17129,0.1271,0.4664,0.0201,0.0519
17131,0.2978,0.3168,0.0544,0.1175
17133,0.007,0.0493,0.1764,0.0121
17141,0.3016,0.3572,0.6441,0.1936
17147,0.0589,0.1585,0.0357,0.0041
17149,0.515,0.78,0.0812,0.2563
17155,0.0844,0.235,0.4374,0.0038
17159,0.5385,0.6393,0.2101,0.3454
17161,0.4873,0.6517,0.7972,0.7816
17163,0.4844,0.4661,0.6539,0.4499
17167,0.3328,0.5138,0.4234,0.6361
17171,0.4019,0.3241,0.0586,0.0777
17173,0.3118,0.1948,0.0232,0.113
17175,0.2895,0.3881,0.043,0.014
17179,0.1092,0.2423,0.1789,0.2617
17181,0.6557,0.7673,0.3187,0.7609
17185,0.3965,0.4941,0.2773,0.3209
17187,0.5306,0.4572,0.6415,0.6756
17189,0.1153,0.1455,0.1474,0.1716
17191,0.3809,0.765,0.2658,0.5259
17193,0.5025,0.9226,0.1398,0.5817
17195,0.2962,0.5874,0.5457,0.2439
17197,0.1557,0.1417,0.8609,0.1465
17199,0.4459,0.6918,0.4002,0.4741
17203,0.0452,0.1531,0.049,0.0936
18003,0.4303,0.5823,0.7603,0.3878
18005,0.2828,0.3317,0.6632,0.4107
18007,0.4971,0.9296,0.2572,0.0541
18009,0.515,0.8472,0.043,0.2795
18013,0.165,0.1382,0.1611,0.1044
18015,0.2745,0.3139,0.2814,0.05
18019,0.3175,0.2022,0.5202,0.2541
18021,0.4188,0.7988,0.1802,0.2477
18023,0.4949,0.5505,0.752,0.453
18025,0.6395,0.6511,0.07,0.27
18029,0.2516,0.227,0.0357,0.1226
18031,0.3306,0.5944,0.1493,0.1706
18033,0.3096,0.7217,0.1414,0.1971
18035,0.6866,0.2464,0.347,0.7011
18037,0.1863,0.2073,0.4982,0.3047
18041,0.6933,0.8583,0.1229,0.5883
18043,0.2022,0.2818,0.333,0.205
18045,0.4341,0.4543,0.2101,0.0818
18047,0.2682,0.5718,0.12,0.099
18049,0.4787,0.5164,0.4082,0.1933
18051,0.2178,0.6243,0.1318,0.6667
18055,0.543,0.6234,0.2066,0.4378
18059,0.0312,0.1907,0.2544,0.0271
18061,0.4121,0.3999,0.0933,0.1356
18063,0.0414,0.2127,0.5403,0.0802
18065,0.5729,0.5686,0.1057,0.3457
18067,0.5086,0.8561,0.4046,0.2509
18069,0.265,0.1181,0.1455,0.2512
18071,0.5484,0.6485,0.5514,0.3722
18073,0.3162,0.4998,0.3658,0.2241
18079,0.5404,0.5727,0.1375,0.3734
18081,0.1232,0.2942,0.3773,0.1891
18083,0.5672,0.8036,0.1684,0.7638
18085,0.3255,0.4222,0.596,0.6202
18089,0.6162,0.667,0.8742,0.504
18091,0.649,0.39,0.5285,0.9051
18093,0.4182,0.7603,0.0834,0.1917
18095,0.6264,0.8195,0.4744,0.5877
18099,0.5197,0.3413,0.6358,0.6886
18101,0.3997,0.7265,0.0092,0.2178
18103,0.7146,0.588,0.283,0.5377
18107,0.3054,0.5202,0.4826,0.4234
18109,0.4076,0.368,0.1105,0.2149
18111,0.5994,0.5727,0.4741,0.042
18113,0.3959,0.5193,0.6278,0.4371
